,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_012,lambda,6.316206E+03,-2.399771E+03,3.151314E+02,-1.420901E+01,2.260182E-01,-5.501261E+04,1.955890E+04,-2.321121E+03,1.177281E+02,-1.975718E+00,2.247040E+05,-7.671699E+04,8.658591E+03,-4.103683E+02,6.932200E+00,-2.590901E+05,8.717710E+04,-9.476149E+03,4.408442E+02,-7.453920E+00
alpha_012,b,-1.510942E+00,5.745475E-01,1.010332E+00,3.445495E-03,-5.265194E-05,-3.273723E+00,2.233656E-01,-8.673596E-02,-3.233892E-03,7.194071E-05,4.398913E+01,-1.756712E+01,2.110520E+00,-9.364999E-02,1.354243E-03,-8.008725E+01,3.300425E+01,-4.348580E+00,2.016962E-01,-3.030375E-03
alpha_012,c,-8.908409E-01,-3.613325E-01,1.042725E+00,-1.773638E-04,-1.274177E-05,-4.552756E+00,9.711572E-01,-1.632747E-02,-1.057676E-02,3.662748E-04,4.331645E+01,-1.121665E+01,4.903343E-01,3.004923E-02,-1.496174E-03,-7.761916E+01,2.074371E+01,-1.260612E+00,-3.946868E-02,2.318910E-03
alpha_020,a,4.207932E+04,4.401238E+04,-1.751195E+04,1.912910E+03,-2.299680E+01,-4.087058E+06,1.461044E+06,-1.860066E+05,9.505727E+03,-2.369337E+02,1.168126E+07,-4.350424E+06,5.894522E+05,-3.447098E+04,8.623583E+02,-3.928216E+06,1.286824E+06,-1.634313E+05,1.205042E+04,-5.758523E+02
alpha_020,mu,-1.689733E+00,-6.247530E-03,1.026334E+00,-1.099813E-03,1.389904E-05,3.728822E+01,-1.063915E+01,9.828819E-01,-3.904510E-02,5.704862E-04,-1.389333E+02,3.726715E+01,-3.207593E+00,1.113442E-01,-1.300089E-03,8.590305E+01,-1.521996E+01,-6.743564E-02,6.538793E-02,-2.028050E-03
alpha_020,sigma,7.820856E-01,-2.767980E-01,6.939227E-02,-3.540256E-03,6.354647E-05,-1.956685E+01,7.889409E+00,-1.097239E+00,6.180147E-02,-1.180245E-03,1.093437E+02,-4.393805E+01,6.068801E+00,-3.400985E-01,6.590095E-03,-1.802634E+02,7.156550E+01,-9.903813E+00,5.593472E-01,-1.085786E-02
alpha_020,lambda,-2.303291E+04,7.985196E+03,-9.645318E+02,5.099325E+01,-9.222339E-01,4.980433E+05,-1.760011E+05,2.150470E+04,-1.082958E+03,1.927637E+01,-2.302006E+06,8.173533E+05,-1.004036E+05,5.095342E+03,-9.094768E+01,2.942093E+06,-1.049241E+06,1.297626E+05,-6.620347E+03,1.187474E+02
alpha_020,b,-1.409375E+00,2.210935E+00,-2.499203E+00,2.368182E-02,-4.594175E-04,7.872577E+01,-5.234197E+01,8.003711E+00,-4.452614E-01,8.423516E-03,-5.395967E+02,2.802344E+02,-3.941230E+01,2.171731E+00,-4.070614E-02,8.501267E+02,-4.006308E+02,5.565677E+01,-3.035600E+00,5.697510E-02
alpha_020,c,2.432713E+00,-2.557617E+00,1.538834E+00,-2.546771E-02,4.896493E-04,-9.940956E+01,5.829978E+01,-8.641505E+00,4.750105E-01,-8.933209E-03,6.304664E+02,-3.061484E+02,4.216991E+01,-2.302813E+00,4.298914E-02,-9.639271E+02,4.337382E+02,-5.922269E+01,3.208127E+00,-6.003420E-02
alpha_022,a,6.406376E+03,-3.408815E+03,6.365441E+02,-5.410004E+01,8.583081E-01,-4.457788E+04,2.301912E+04,-3.997243E+03,2.662669E+02,-3.994523E+00,1.287093E+05,-5.599968E+04,8.468044E+03,-5.111297E+02,6.339609E+00,-9.040563E+04,3.267980E+04,-3.920000E+03,1.765295E+02,1.496058E+00
alpha_022,mu,-2.877278E-01,-4.662780E-01,1.073108E+00,-2.072283E-03,2.446290E-05,6.642640E+00,-4.170301E-02,-3.345910E-01,2.613043E-02,-5.736030E-04,-7.124923E+00,-6.820401E+00,2.374829E+00,-1.891118E-01,4.290764E-03,-4.729599E+01,2.915471E+01,-5.767277E+00,3.856300E-01,-8.335522E-03
alpha_022,sigma,2.437986E-01,-9.164807E-02,4.796089E-02,-2.485503E-03,4.869844E-05,-1.656298E+01,7.057054E+00,-1.055092E+00,6.350188E-02,-1.283389E-03,1.011712E+02,-4.175879E+01,6.104895E+00,-3.643580E-01,7.443229E-03,-1.676671E+02,6.831314E+01,-9.932355E+00,5.939465E-01,-1.213487E-02
alpha_022,lambda,3.832345E+03,-1.406922E+03,1.568946E+02,-2.706725E+00,-5.793872E-03,-3.533784E+04,1.549762E+04,-2.289617E+03,1.321506E+02,-2.332799E+00,1.627554E+05,-7.363739E+04,1.161229E+04,-7.420185E+02,1.486809E+01,-2.612657E+05,1.148447E+05,-1.783847E+04,1.153152E+03,-2.414968E+01
alpha_022,b,-2.330601E+00,1.005668E+00,9.081899E-01,6.946783E-03,-1.271365E-04,2.035230E+01,-9.454889E+00,1.406768E+00,-8.406752E-02,1.647405E-03,-8.483930E+01,3.531716E+01,-5.382321E+00,3.332043E-01,-6.790360E-03,1.135615E+02,-4.555273E+01,6.633520E+00,-4.294969E-01,8.993848E-03
alpha_100,a,3.223211E+04,-2.288270E+03,6.566615E+02,1.037271E+01,-3.945929E-01,1.925709E+05,-7.300882E+04,4.907697E+03,-5.719806E+01,2.263732E-02,-6.045781E+05,9.448720E+04,9.811290E+03,-1.599632E+03,3.774354E+01,-3.533067E+05,3.059812E+05,-6.496986E+04,4.935152E+03,-1.049722E+02
alpha_100,mu,-2.139764E+00,2.843438E-01,9.816472E-01,6.331410E-04,-8.451594E-06,1.917145E+01,-6.148805E+00,6.120194E-01,-2.679291E-02,4.236442E-04,-6.003640E+01,1.914978E+01,-1.922145E+00,8.517812E-02,-1.417868E-03,4.008270E+01,-1.128443E+01,7.894821E-01,-3.938323E-02,8.041285E-04
